station;valid_date;valid_time_new;valid_date_time;tmpf;dwpf;relh;drct;sknt;p01i;alti;mslp;vsby;gust;skyc1;skyc2;skyc3;skyc4;skyl1;skyl2;skyl3;skyl4;wxcodes;ice_accretion_1hr;ice_accretion_3hr;ice_accretion_6hr;peak_wind_gust;peak_wind_drct;peak_wind_time;feel;metar;airport;snowdepth
LGA;15.01.2023;17:51;15.01.2023 17:51;38.00;19.00;46.08;350.00;19.00;0.00;30.00;1015.80;10.00;25.00;FEW;SCT;SCT;SCT;4000.00;8500.00;21000.00;25000.00;;;;;29.00;340.00;2023-01-15 17:36;27.24;KLGA 151751Z 35019G25KT 10SM FEW040 SCT085 SCT210 SCT250 03/M07 A3000 RMK AO2 PK WND 34029/1736 SLP158 T00331072 10033 21011 58010;LGA;
JFK;15.01.2023;17:51;15.01.2023 17:51;37.00;21.00;51.99;330.00;23.00;0.00;29.99;1015.40;10.00;31.00;FEW;SCT;BKN;BKN;5000.00;9000.00;21000.00;25000.00;;;;;32.00;330.00;2023-01-15 17:39;25.03;KJFK 151751Z 33023G31KT 10SM FEW050 SCT090 BKN210 BKN250 03/M06 A2999 RMK AO2 PK WND 33032/1739 SLP154 T00281061 10033 21011 58007 $;JFK;
JFK;15.01.2023;18:51;15.01.2023 18:51;39.00;19.90;45.87;340.00;22.00;0.00;29.98;1015.00;10.00;28.00;FEW;FEW;SCT;BKN;5000.00;9000.00;20000.00;25000.00;;;;;31.00;330.00;2023-01-15 18:41;27.95;KJFK 151851Z 34022G28KT 10SM FEW050 FEW090 SCT200 BKN250 04/M07 A2998 RMK AO2 PK WND 33031/1841 SLP150 T00391067 $;JFK;
LGA;15.01.2023;18:51;15.01.2023 18:51;38.00;17.10;42.46;330.00;22.00;0.00;29.99;1015.30;10.00;30.00;FEW;SCT;SCT;SCT;4000.00;9500.00;21000.00;25000.00;;;;;30.00;340.00;2023-01-15 18:42;26.48;KLGA 151851Z 33022G30KT 10SM FEW040 SCT095 SCT210 SCT250 03/M08 A2999 RMK AO2 PK WND 34030/1842 SLP153 T00331083;LGA;
JFK;15.01.2023;19:51;15.01.2023 19:51;39.00;18.00;42.28;340.00;23.00;0.00;29.96;1014.40;10.00;30.00;FEW;SCT;SCT;;9000.00;20000.00;25000.00;;;;;;33.00;340.00;2023-01-15 19:39;27.72;KJFK 151951Z 34023G30KT 10SM FEW090 SCT200 SCT250 04/M08 A2996 RMK AO2 PK WND 34033/1939 SLP144 T00391078 $;JFK;
LGA;15.01.2023;19:51;15.01.2023 19:51;40.00;16.00;37.44;350.00;17.00;0.00;29.97;1014.70;10.00;27.00;FEW;SCT;SCT;SCT;5000.00;9000.00;15000.00;25000.00;;;;;28.00;350.00;2023-01-15 19:01;30.42;KLGA 151951Z 35017G27KT 10SM FEW050 SCT090 SCT150 SCT250 04/M09 A2997 RMK AO2 PK WND 35028/1901 SLP147 T00441089;LGA;
JFK;15.01.2023;20:51;15.01.2023 20:51;39.00;18.00;42.28;340.00;20.00;0.00;29.96;1014.60;10.00;28.00;FEW;SCT;SCT;;9500.00;20000.00;25000.00;;;;;;31.00;340.00;2023-01-15 20:35;28.44;KJFK 152051Z 34020G28KT 10SM FEW095 SCT200 SCT250 04/M08 A2996 RMK AO2 PK WND 34031/2035 SLP146 T00391078 55008 $;JFK;
LGA;15.01.2023;20:51;15.01.2023 20:51;39.00;15.10;37.29;360.00;15.00;0.00;29.98;1015.10;10.00;28.00;FEW;SCT;SCT;;8000.00;20000.00;25000.00;;;;;;28.00;360.00;2023-01-15 20:47;29.85;KLGA 152051Z 36015G28KT 10SM FEW080 SCT200 SCT250 04/M09 A2998 RMK AO2 PK WND 36028/2047 SLP151 T00391094 55006;LGA;
LGA;15.01.2023;21:51;15.01.2023 21:51;38.00;15.10;38.93;350.00;14.00;0.00;30.00;1015.80;10.00;22.00;FEW;FEW;SCT;;8500.00;20000.00;25000.00;;;;;;29.00;360.00;2023-01-15 21:19;28.77;KLGA 152151Z 35014G22KT 10SM FEW085 FEW200 SCT250 03/M09 A3000 RMK AO2 PK WND 36029/2119 SLP158 T00331094;LGA;
JFK;15.01.2023;21:51;15.01.2023 21:51;38.00;15.10;38.93;350.00;23.00;0.00;29.98;1015.20;10.00;33.00;FEW;SCT;SCT;;9500.00;20000.00;25000.00;;;;;;33.00;350.00;2023-01-15 21:49;26.24;KJFK 152151Z 35023G33KT 10SM FEW095 SCT200 SCT250 03/M09 A2998 RMK AO2 PK WND 35033/2149 SLP152 T00331094 $;JFK;
LGA;15.01.2023;22:51;15.01.2023 22:51;37.00;15.10;40.34;360.00;17.00;0.00;30.01;1016.20;10.00;26.00;FEW;FEW;SCT;;9500.00;20000.00;25000.00;;;;;;26.00;350.00;2023-01-15 22:49;26.63;KLGA 152251Z 36017G26KT 10SM FEW095 FEW200 SCT250 03/M09 A3001 RMK AO2 PK WND 35026/2249 SLP162 T00281094;LGA;
JFK;15.01.2023;22:51;15.01.2023 22:51;36.00;15.10;41.96;350.00;23.00;0.00;30.00;1015.90;10.00;30.00;FEW;SCT;SCT;;9500.00;20000.00;25000.00;;;;;;32.00;360.00;2023-01-15 22:10;23.69;KJFK 152251Z 35023G30KT 10SM FEW095 SCT200 SCT250 02/M09 A3000 RMK AO2 PK WND 36032/2210 SLP159 T00221094 $;JFK;
LGA;15.01.2023;23:51;15.01.2023 23:51;36.00;16.00;43.64;360.00;20.00;0.00;30.01;1016.20;10.00;27.00;FEW;FEW;SCT;;8000.00;20000.00;25000.00;;;;;;28.00;360.00;2023-01-15 23:17;24.45;KLGA 152351Z 36020G27KT 10SM FEW080 FEW200 SCT250 02/M09 A3001 RMK AO2 PK WND 36028/2317 SLP162 T00221089 10044 20022 51011;LGA;
JFK;15.01.2023;23:51;15.01.2023 23:51;35.00;16.00;45.22;350.00;18.00;0.00;30.01;1016.10;10.00;;FEW;SCT;SCT;;9500.00;20000.00;25000.00;;;;;;29.00;350.00;2023-01-15 22:53;23.83;KJFK 152351Z 35018KT 10SM FEW095 SCT200 SCT250 02/M09 A3001 RMK AO2 PK WND 35029/2253 SLP161 T00171089 10039 20017 51015 $;JFK;
LGA;16.01.2023;0:51;16.01.2023 00:51;36.00;12.90;38.10;360.00;20.00;0.00;30.00;1015.90;10.00;37.00;FEW;FEW;SCT;;8500.00;20000.00;25000.00;;;;;;37.00;340.00;2023-01-16 00:44;24.45;KLGA 160051Z 36020G37KT 10SM FEW085 FEW200 SCT250 02/M11 A3000 RMK AO2 PK WND 34037/0044 SLP159 T00221106;LGA;
JFK;16.01.2023;0:51;16.01.2023 00:51;34.00;15.10;45.43;350.00;21.00;0.00;30.01;1016.00;10.00;28.00;FEW;FEW;;;20000.00;25000.00;;;;;;;29.00;350.00;2023-01-15 23:56;21.52;KJFK 160051Z 35021G28KT 10SM FEW200 FEW250 01/M09 A3001 RMK AO2 PK WND 35029/2356 SLP160 T00111094 $;JFK;
JFK;16.01.2023;1:51;16.01.2023 01:51;34.00;15.10;45.43;350.00;19.00;0.00;30.00;1015.70;10.00;27.00;FEW;FEW;;;20000.00;25000.00;;;;;;;27.00;350.00;2023-01-16 01:23;22.08;KJFK 160151Z 35019G27KT 10SM FEW200 FEW250 01/M09 A3000 RMK AO2 PK WND 35027/0123 SLP157 T00111094 $;JFK;
LGA;16.01.2023;1:51;16.01.2023 01:51;35.00;12.90;39.49;350.00;20.00;0.00;29.99;1015.60;10.00;29.00;FEW;FEW;FEW;;9000.00;20000.00;25000.00;;;;;;32.00;340.00;2023-01-16 01:15;23.26;KLGA 160151Z 35020G29KT 10SM FEW090 FEW200 FEW250 02/M11 A2999 RMK AO2 PK WND 34032/0115 SLP156 T00171106;LGA;
LGA;16.01.2023;2:51;16.01.2023 02:51;34.00;12.90;41.26;350.00;18.00;0.00;29.99;1015.60;10.00;29.00;FEW;FEW;;;20000.00;25000.00;;;;;;;32.00;350.00;2023-01-16 02:31;22.38;KLGA 160251Z 35018G29KT 10SM FEW200 FEW250 01/M11 A2999 RMK AO2 PK WND 35032/0231 SLP156 T00111106 56006;LGA;
JFK;16.01.2023;2:51;16.01.2023 02:51;33.00;14.00;44.89;360.00;21.00;0.00;29.99;1015.60;10.00;26.00;FEW;FEW;;;20000.00;25000.00;;;;;;;28.00;340.00;2023-01-16 01:58;20.32;KJFK 160251Z 36021G26KT 10SM FEW200 FEW250 01/M10 A2999 RMK AO2 PK WND 34028/0158 SLP156 T00061100 56005 $;JFK;
LGA;16.01.2023;3:51;16.01.2023 03:51;33.00;14.00;44.89;350.00;17.00;0.00;29.99;1015.60;10.00;25.00;FEW;FEW;;;3900.00;25000.00;;;;;;;31.00;350.00;2023-01-16 03:05;21.52;KLGA 160351Z COR 35017G25KT 10SM FEW039 FEW250 01/M10 A2999 RMK AO2 PK WND 35031/0305 SLP156 T00061100;LGA;
JFK;16.01.2023;3:51;16.01.2023 03:51;32.00;14.00;46.92;350.00;17.00;0.00;29.99;1015.50;10.00;25.00;FEW;FEW;;;9000.00;25000.00;;;;;;;26.00;360.00;2023-01-16 03:08;20.08;KJFK 160351Z 35017G25KT 10SM FEW090 FEW250 00/M10 A2999 RMK AO2 PK WND 36026/0308 SLP155 T00001100 $;JFK;
LGA;16.01.2023;4:51;16.01.2023 04:51;32.00;14.00;46.92;350.00;18.00;0.00;29.99;1015.60;10.00;24.00;FEW;FEW;;;8000.00;25000.00;;;;;;;29.00;340.00;2023-01-16 04:11;19.75;KLGA 160451Z 35018G24KT 10SM FEW080 FEW250 00/M10 A2999 RMK AO2 PK WND 34029/0411 SLP156 T00001100 400441011;LGA;
JFK;16.01.2023;4:51;16.01.2023 04:51;30.90;12.90;46.74;340.00;16.00;0.00;29.99;1015.40;10.00;26.00;SCT;BKN;;;8000.00;19000.00;;;;;;;26.00;350.00;2023-01-16 04:44;18.98;KJFK 160451Z 34016G26KT 10SM SCT080 BKN190 M01/M11 A2999 RMK AO2 PK WND 35026/0444 SLP154 T10061106 400391017 $;JFK;
LGA;16.01.2023;5:51;16.01.2023 05:51;30.90;14.00;49.05;350.00;16.00;0.00;29.98;1015.00;10.00;25.00;SCT;;;;8000.00;;;;;;;;27.00;350.00;2023-01-16 05:08;18.98;KLGA 160551Z 35016G25KT 10SM SCT080 M01/M10 A2998 RMK AO2 PK WND 35027/0508 SLP150 T10061100 10022 21006 58006;LGA;
JFK;16.01.2023;5:51;16.01.2023 05:51;30.90;12.00;44.92;350.00;19.00;0.00;29.96;1014.60;10.00;25.00;BKN;;;;6500.00;;;;;;;;26.00;350.00;2023-01-16 05:01;17.98;KJFK 160551Z 35019G25KT 10SM BKN065 M01/M11 A2996 RMK AO2 PK WND 35026/0501 SLP146 T10061111 10017 21006 58010 $;JFK;
LGA;16.01.2023;6:51;16.01.2023 06:51;30.00;12.90;48.48;340.00;19.00;0.00;29.98;1015.10;10.00;26.00;SCT;;;;7500.00;;;;;;;;26.00;340.00;2023-01-16 06:43;16.79;KLGA 160651Z 34019G26KT 10SM SCT075 M01/M11 A2998 RMK AO2 PK WND 34026/0643 SLP151 T10111106;LGA;
JFK;16.01.2023;6:51;16.01.2023 06:51;30.90;12.90;46.74;350.00;14.00;0.00;29.98;1015.10;10.00;;BKN;;;;6500.00;;;;;;;;26.00;360.00;2023-01-16 05:56;19.74;KJFK 160651Z 35014KT 10SM BKN065 M01/M11 A2998 RMK AO2 PK WND 36026/0556 SLP151 T10061106 $;JFK;
LGA;16.01.2023;7:51;16.01.2023 07:51;30.00;12.00;46.59;350.00;16.00;0.00;29.98;1015.20;10.00;24.00;BKN;;;;8000.00;;;;;;;;29.00;360.00;2023-01-16 07:20;17.81;KLGA 160751Z 35016G24KT 10SM BKN080 M01/M11 A2998 RMK AO2 PK WND 36029/0720 SLP152 T10111111;LGA;
JFK;16.01.2023;7:51;16.01.2023 07:51;30.00;12.90;48.48;340.00;17.00;0.00;29.98;1015.10;10.00;;BKN;;;;6500.00;;;;;;;;;;;17.46;KJFK 160751Z 34017KT 10SM BKN065 M01/M11 A2998 RMK AO2 SLP151 T10111106 $;JFK;
LGA;16.01.2023;8:51;16.01.2023 08:51;30.90;12.90;46.74;350.00;15.00;0.00;29.97;1014.90;10.00;;BKN;;;;7000.00;;;;;;;;26.00;350.00;2023-01-16 08:36;19.35;KLGA 160851Z 35015KT 10SM BKN070 M01/M11 A2997 RMK AO2 PK WND 35026/0836 SLP149 T10061106 58001;LGA;
JFK;16.01.2023;8:51;16.01.2023 08:51;30.00;12.00;46.59;350.00;12.00;0.00;29.97;1014.90;10.00;20.00;BKN;;;;7000.00;;;;;;;;;;;19.46;KJFK 160851Z 35012G20KT 10SM BKN070 M01/M11 A2997 RMK AO2 SLP149 T10111111 50003 $;JFK;
LGA;16.01.2023;9:51;16.01.2023 09:51;30.90;12.00;44.92;340.00;13.00;0.00;29.97;1014.80;10.00;;BKN;BKN;;;3400.00;4600.00;;;;;;;;;;20.16;KLGA 160951Z 34013KT 10SM BKN034 BKN046 M01/M11 A2997 RMK AO2 SLP148 T10061111;LGA;
JFK;16.01.2023;9:51;16.01.2023 09:51;28.90;12.00;48.72;340.00;15.00;0.00;29.97;1014.90;10.00;;BKN;;;;7000.00;;;;;;;;;;;16.76;KJFK 160951Z 34015KT 10SM BKN070 M02/M11 A2997 RMK AO2 SLP149 T10171111 $;JFK;
LGA;16.01.2023;10:51;16.01.2023 10:51;30.90;10.00;41.09;330.00;15.00;0.00;29.96;1014.50;10.00;25.00;SCT;BKN;;;3200.00;5000.00;;;;;;;;;;19.35;KLGA 161051Z 33015G25KT 10SM SCT032 BKN050 M01/M12 A2996 RMK AO2 SLP145 T10061122;LGA;
JFK;16.01.2023;10:51;16.01.2023 10:51;30.00;12.00;46.59;330.00;16.00;0.00;29.97;1014.70;10.00;22.00;SCT;BKN;;;3300.00;6000.00;;;;;;;;;;17.81;KJFK 161051Z 33016G22KT 10SM SCT033 BKN060 M01/M11 A2997 RMK AO2 SLP147 T10111111 $;JFK;
LGA;16.01.2023;11:51;16.01.2023 11:51;32.00;10.00;39.31;340.00;16.00;0.00;29.96;1014.40;10.00;24.00;SCT;BKN;;;3000.00;5000.00;;;;;;;27.00;350.00;2023-01-16 11:01;20.42;KLGA 161151Z 34016G24KT 10SM SCT030 BKN050 00/M12 A2996 RMK AO2 PK WND 35027/1101 SLP144 T00001122 10000 21011 56005;LGA;
JFK;16.01.2023;11:51;16.01.2023 11:51;30.00;12.90;48.48;350.00;14.00;0.00;29.97;1014.60;10.00;;SCT;BKN;BKN;;3200.00;5000.00;11000.00;;;;;;;;;18.58;KJFK 161151Z 35014KT 10SM SCT032 BKN050 BKN110 M01/M11 A2997 RMK AO2 SLP146 T10111106 11006 21017 58003 $;JFK;
LGA;16.01.2023;12:51;16.01.2023 12:51;32.00;10.90;40.92;340.00;14.00;0.00;29.96;1014.30;10.00;;BKN;;;;3800.00;;;;;;;;;;;21.16;KLGA 161251Z 34014KT 10SM BKN038 00/M12 A2996 RMK AO2 SLP143 T00001117;LGA;
JFK;16.01.2023;12:51;16.01.2023 12:51;30.90;10.00;41.09;340.00;18.00;0.00;29.96;1014.50;10.00;25.00;BKN;BKN;;;3200.00;9500.00;;;;;;;;;;18.30;KJFK 161251Z 34018G25KT 10SM BKN032 BKN095 M01/M12 A2996 RMK AO2 SLP145 T10061122 $;JFK;
JFK;16.01.2023;13:51;16.01.2023 13:51;33.00;10.00;37.61;340.00;15.00;0.00;29.95;1014.10;10.00;;SCT;BKN;BKN;;4000.00;9500.00;16000.00;;;;;;;;;22.21;KJFK 161351Z 34015KT 10SM SCT040 BKN095 BKN160 01/M12 A2995 RMK AO2 SLP141 T00061122 $;JFK;
LGA;16.01.2023;13:51;16.01.2023 13:51;30.90;12.90;46.74;310.00;11.00;0.00;29.95;1014.00;10.00;;BKN;;;;3700.00;;;;;;;;;;;21.08;KLGA 161351Z 31011KT 10SM BKN037 M01/M11 A2995 RMK AO2 SLP140 T10061106;LGA;
LGA;16.01.2023;14:51;16.01.2023 14:51;32.00;12.90;44.70;300.00;9.00;0.00;29.94;1013.90;10.00;;SCT;BKN;;;4000.00;10000.00;;;;;;;;;;23.51;KLGA 161451Z 30009KT 10SM SCT040 BKN100 00/M11 A2994 RMK AO2 SLP139 T00001106 58006;LGA;
JFK;16.01.2023;14:51;16.01.2023 14:51;34.00;10.00;36.27;350.00;19.00;0.00;29.93;1013.60;10.00;24.00;FEW;SCT;SCT;;4300.00;9500.00;16000.00;;;;;;;;;22.08;KJFK 161451Z 35019G24KT 10SM FEW043 SCT095 SCT160 01/M12 A2993 RMK AO2 SLP136 T00111122 58010 $;JFK;
LGA;16.01.2023;15:51;16.01.2023 15:51;35.00;12.90;39.49;300.00;9.00;0.00;29.92;1013.10;10.00;;SCT;BKN;;;4000.00;10000.00;;;;;;;;;;27.37;KLGA 161551Z 30009KT 10SM SCT040 BKN100 02/M11 A2992 RMK AO2 SLP131 T00171106;LGA;
JFK;16.01.2023;15:51;16.01.2023 15:51;38.00;9.00;29.72;360.00;18.00;0.00;29.91;1012.90;10.00;22.00;FEW;FEW;SCT;SCT;4800.00;9000.00;16000.00;25000.00;;;;;;;;27.52;KJFK 161551Z 36018G22KT 10SM FEW048 FEW090 SCT160 SCT250 03/M13 A2991 RMK AO2 SLP129 ACSL SE T00331128 $;JFK;
LGA;16.01.2023;16:51;16.01.2023 16:51;38.00;10.00;31.08;300.00;7.00;0.00;29.87;1011.50;10.00;;FEW;FEW;;;4000.00;10000.00;;;;;;;;;;31.97;KLGA 161651Z 30007KT 10SM FEW040 FEW100 03/M12 A2987 RMK AO2 SLP115 T00331122;LGA;
JFK;16.01.2023;16:51;16.01.2023 16:51;41.00;10.00;27.55;330.00;19.00;0.00;29.87;1011.40;10.00;27.00;FEW;FEW;SCT;;9000.00;16000.00;25000.00;;;;;;27.00;320.00;2023-01-16 16:48;31.34;KJFK 161651Z 33019G27KT 10SM FEW090 FEW160 SCT250 05/M12 A2987 RMK AO2 PK WND 32027/1648 SLP114 T00501122 $;JFK;
LGA;16.01.2023;17:51;16.01.2023 17:51;41.00;12.00;30.11;310.00;10.00;0.00;29.83;1009.90;10.00;;FEW;FEW;FEW;;4000.00;10000.00;25000.00;;;;;;;;;34.25;KLGA 161751Z 31010KT 10SM FEW040 FEW100 FEW250 05/M11 A2983 RMK AO2 SLP099 T00501111 10050 21011 58039;LGA;
JFK;16.01.2023;17:51;16.01.2023 17:51;42.00;12.00;28.86;310.00;15.00;0.00;29.83;1010.10;10.00;;FEW;FEW;FEW;;9000.00;16000.00;25000.00;;;;;;28.00;330.00;2023-01-16 16:53;33.87;KJFK 161751Z 31015KT 10SM FEW090 FEW160 FEW250 06/M11 A2983 RMK AO2 PK WND 33028/1653 SLP101 T00561111 10056 21011 58035 $;JFK;
LGA;16.01.2023;18:51;16.01.2023 18:51;45.00;10.90;24.59;310.00;10.00;0.00;29.80;1009.00;10.00;;FEW;FEW;FEW;;4000.00;10000.00;25000.00;;;;;;;;;39.27;KLGA 161851Z 31010KT 10SM FEW040 FEW100 FEW250 07/M12 A2980 RMK AO2 SLP090 T00721117;LGA;
JFK;16.01.2023;18:51;16.01.2023 18:51;46.00;12.00;24.86;320.00;15.00;0.00;29.80;1009.00;10.00;;FEW;FEW;FEW;;9000.00;16000.00;25000.00;;;;;;;;;38.93;KJFK 161851Z 32015KT 10SM FEW090 FEW160 FEW250 08/M11 A2980 RMK AO2 SLP090 T00781111 $;JFK;
LGA;16.01.2023;19:51;16.01.2023 19:51;46.00;9.00;21.75;330.00;8.00;0.00;29.79;1008.70;10.00;;FEW;FEW;SCT;;10000.00;20000.00;25000.00;;;;;;;;;41.36;KLGA 161951Z 33008KT 10SM FEW100 FEW200 SCT250 08/M13 A2979 RMK AO2 SLP087 T00781128;LGA;
JFK;16.01.2023;19:51;16.01.2023 19:51;47.00;10.90;22.89;330.00;15.00;0.00;29.80;1009.00;10.00;;FEW;FEW;;;16000.00;25000.00;;;;;;;;;;40.10;KJFK 161951Z 33015KT 10SM FEW160 FEW250 08/M12 A2980 RMK AO2 SLP090 T00831117 $;JFK;
JFK;16.01.2023;20:51;16.01.2023 20:51;48.00;10.00;21.10;310.00;12.00;0.00;29.80;1009.00;10.00;;FEW;FEW;FEW;;4800.00;16000.00;25000.00;;;;;;;;;42.37;KJFK 162051Z COR 31012KT 10SM FEW048 FEW160 FEW250 09/M12 A2980 RMK AO2 SLP090 T00891122 56011 $;JFK;
LGA;16.01.2023;20:51;16.01.2023 20:51;47.00;12.00;24.03;320.00;12.00;0.00;29.79;1008.60;10.00;;FEW;FEW;SCT;SCT;5000.00;10000.00;20000.00;25000.00;;;;;;;;40.97;KLGA 162051Z 32012KT 10SM FEW050 FEW100 SCT200 SCT250 08/M11 A2979 RMK AO2 SLP086 T00831111 56013;LGA;
LGA;16.01.2023;21:51;16.01.2023 21:51;46.00;12.90;25.87;320.00;11.00;0.00;29.78;1008.30;10.00;;FEW;FEW;SCT;SCT;5000.00;10000.00;20000.00;25000.00;;;;;;;;40.16;KLGA 162151Z 32011KT 10SM FEW050 FEW100 SCT200 SCT250 08/M11 A2978 RMK AO2 SLP083 T00781106;LGA;
JFK;16.01.2023;21:51;16.01.2023 21:51;45.00;10.90;24.59;320.00;11.00;0.00;29.79;1008.60;10.00;;FEW;FEW;FEW;;4800.00;16000.00;25000.00;;;;;;;;;38.89;KJFK 162151Z 32011KT 10SM FEW048 FEW160 FEW250 07/M12 A2979 RMK AO2 SLP086 T00721117 $;JFK;
LGA;16.01.2023;22:51;16.01.2023 22:51;44.00;15.10;30.63;310.00;14.00;0.00;29.78;1008.40;10.00;;FEW;SCT;;;10000.00;25000.00;;;;;;;;;;36.76;KLGA 162251Z 31014KT 10SM FEW100 SCT250 07/M09 A2978 RMK AO2 SLP084 T00671094;LGA;
JFK;16.01.2023;22:51;16.01.2023 22:51;45.00;10.90;24.59;310.00;14.00;0.00;29.79;1008.70;10.00;;FEW;FEW;;;15000.00;25000.00;;;;;;;;;;37.92;KJFK 162251Z 31014KT 10SM FEW150 FEW250 07/M12 A2979 RMK AO2 SLP087 T00721117 $;JFK;
JFK;16.01.2023;23:51;16.01.2023 23:51;44.00;10.90;25.45;310.00;14.00;0.00;29.80;1009.00;10.00;20.00;FEW;;;;25000.00;;;;;;;;;;;36.76;KJFK 162351Z 31014G20KT 10SM FEW250 07/M12 A2980 RMK AO2 SLP090 T00671117 10089 20056 53000 $;JFK;
LGA;16.01.2023;23:51;16.01.2023 23:51;44.00;12.90;27.81;310.00;13.00;0.00;29.79;1008.70;10.00;;FEW;FEW;;;8000.00;25000.00;;;;;;;;;;37.07;KLGA 162351Z 31013KT 10SM FEW080 FEW250 07/M11 A2979 RMK AO2 SLP087 T00671106 10089 20050 53000;LGA;
LGA;17.01.2023;0:51;17.01.2023 00:51;43.00;12.00;27.87;300.00;13.00;0.00;29.80;1008.90;10.00;;FEW;;;;25000.00;;;;;;;;;;;35.66;KLGA 170051Z 30013KT 10SM FEW250 06/M11 A2980 RMK AO2 SLP089 T00611111;LGA;
JFK;17.01.2023;0:51;17.01.2023 00:51;43.00;10.90;26.55;310.00;14.00;0.00;29.80;1009.10;10.00;;FEW;;;;25000.00;;;;;;;;;;;35.34;KJFK 170051Z 31014KT 10SM FEW250 06/M12 A2980 RMK AO2 SLP091 T00611117 $;JFK;
LGA;17.01.2023;1:51;17.01.2023 01:51;41.00;12.00;30.11;320.00;9.00;0.00;29.79;1008.90;10.00;;FEW;;;;25000.00;;;;;;;;;;;34.70;KLGA 170151Z 32009KT 10SM FEW250 05/M11 A2979 RMK AO2 SLP089 T00501111;LGA;
JFK;17.01.2023;1:51;17.01.2023 01:51;41.00;10.00;27.55;300.00;14.00;0.00;29.80;1009.10;10.00;21.00;FEW;;;;25000.00;;;;;;;;;;;32.76;KJFK 170151Z 30014G21KT 10SM FEW250 05/M12 A2980 RMK AO2 SLP091 T00501122 $;JFK;
LGA;17.01.2023;2:51;17.01.2023 02:51;40.00;12.90;32.70;300.00;12.00;0.00;29.80;1008.90;10.00;;FEW;;;;25000.00;;;;;;;;;;;32.06;KLGA 170251Z 30012KT 10SM FEW250 04/M11 A2980 RMK AO2 SLP089 T00441106 51003;LGA;
JFK;17.01.2023;2:51;17.01.2023 02:51;40.00;12.00;31.42;310.00;13.00;0.00;29.81;1009.30;10.00;18.00;FEW;;;;25000.00;;;;;;;;;;;31.69;KJFK 170251Z 31013G18KT 10SM FEW250 04/M11 A2981 RMK AO2 SLP093 T00441111 52003 $;JFK;
JFK;17.01.2023;3:51;17.01.2023 03:51;38.00;14.00;37.10;320.00;8.00;0.00;29.80;1009.00;10.00;;FEW;;;;25000.00;;;;;;;;;;;31.38;KJFK 170351Z 32008KT 10SM FEW250 03/M10 A2980 RMK AO2 SLP090 T00331100 $;JFK;
LGA;17.01.2023;3:51;17.01.2023 03:51;39.00;14.00;35.54;320.00;11.00;0.00;29.79;1008.80;10.00;;FEW;;;;25000.00;;;;;;;;;;;31.31;KLGA 170351Z 32011KT 10SM FEW250 04/M10 A2979 RMK AO2 SLP088 T00391100;LGA;
LGA;17.01.2023;4:51;17.01.2023 04:51;38.00;15.10;38.93;310.00;9.00;0.00;29.78;1008.60;10.00;;SCT;;;;25000.00;;;;;;;;;;;30.85;KLGA 170451Z 31009KT 10SM SCT250 03/M09 A2978 RMK AO2 SLP086 T00331094 400891011;LGA;
JFK;17.01.2023;4:51;17.01.2023 04:51;37.00;15.10;40.34;300.00;6.00;0.00;29.79;1008.90;10.00;;SCT;;;;25000.00;;;;;;;;;;;31.55;KJFK 170451Z 30006KT 10SM SCT250 03/M09 A2979 RMK AO2 SLP089 T00281094 400891017 $;JFK;
JFK;17.01.2023;5:51;17.01.2023 05:51;37.00;16.00;41.95;280.00;7.00;0.00;29.79;1008.80;10.00;;BKN;;;;25000.00;;;;;;;;;;;30.87;KJFK 170551Z 28007KT 10SM BKN250 03/M09 A2979 RMK SLP088 T00281089 10067 20017 56005;JFK;
LGA;17.01.2023;5:51;17.01.2023 05:51;38.00;15.10;38.93;300.00;9.00;0.00;29.78;1008.30;10.00;;BKN;;;;25000.00;;;;;;;;;;;30.85;KLGA 170551Z 30009KT 10SM BKN250 03/M09 A2978 RMK AO2 SLP083 T00331094 10067 20033 58006;LGA;
LGA;17.01.2023;6:51;17.01.2023 06:51;37.00;15.10;40.34;300.00;11.00;0.00;29.78;1008.40;10.00;;FEW;BKN;;;20000.00;25000.00;;;;;;;;;;28.79;KLGA 170651Z 30011KT 10SM FEW200 BKN250 03/M09 A2978 RMK AO2 SLP084 T00281094;LGA;
JFK;17.01.2023;6:51;17.01.2023 06:51;36.00;17.10;45.77;280.00;8.00;0.00;29.79;1008.80;10.00;;BKN;;;;25000.00;;;;;;;;;;;29.04;KJFK 170651Z 28008KT 10SM BKN250 02/M08 A2979 RMK SLP088 T00221083;JFK;
JFK;17.01.2023;7:51;17.01.2023 07:51;35.00;17.10;47.43;290.00;7.00;0.00;29.78;1008.50;10.00;;BKN;;;;25000.00;;;;;;;;;;;28.56;KJFK 170751Z 29007KT 10SM BKN250 02/M08 A2978 RMK SLP085 T00171083;JFK;
LGA;17.01.2023;7:51;17.01.2023 07:51;37.00;14.00;38.44;300.00;10.00;0.00;29.77;1008.00;10.00;;FEW;BKN;;;20000.00;25000.00;;;;;;;;;;29.24;KLGA 170751Z 30010KT 10SM FEW200 BKN250 03/M10 A2977 RMK AO2 SLP080 T00281100;LGA;
LGA;17.01.2023;8:51;17.01.2023 08:51;36.00;12.90;38.10;300.00;8.00;0.00;29.76;1007.70;10.00;;FEW;FEW;;;20000.00;25000.00;;;;;;;;;;29.04;KLGA 170851Z 30008KT 10SM FEW200 FEW250 02/M11 A2976 RMK AO2 SLP077 T00221106 58006;LGA;
